LOCALIZADOR;PLAN.;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
DIOVANIO.001;22771;P01;1;1;01;10mm;7,81;4;310;305;BF2D@HjDIOVANIO.001@r01@i1@p485380@l3100@n4@e7.812@d10.0@gCA50@s40.00@v@Gl2350@w-90@l650@w-90@l100@w0@C85@
DIOVANIO.001;22771;P01;1;2;02;10mm;7,01;4;278;273;BF2D@HjDIOVANIO.001@r01@i2@p485381@l2780@n4@e7.006@d10.0@gCA50@s40.00@v@Gl2180@w90@l500@w-90@l100@w0@C93@
DIOVANIO.001;22771;P01;1;3;03;5mm;2,16;15;90;86;BF2D@HjDIOVANIO.001@r01@i3@p485382@l900@n15@e2.16@d5.0@gCA60@s20.00@v@Gl50@w-120@l250@w-90@l150@w-90@l250@w-90@l150@w-120@l50@w0@C67@
DIOVANIO.001;22771;P02;6;4;01;10mm;3,46;2;275;270;BF2D@HjDIOVANIO.001@r01@i4@p485384@l2750@n12@e20.79@d10.0@gCA50@s40.00@v@Gl2000@w-90@l650@w-90@l100@w0@C93@
DIOVANIO.001;22771;P02;6;5;02;10mm;3,09;2;245;240;BF2D@HjDIOVANIO.001@r01@i5@p485385@l2450@n12@e18.522@d10.0@gCA50@s40.00@v@Gl1850@w90@l500@w-90@l100@w0@C85@
DIOVANIO.001;22771;P02;6;6;03;5mm;1,87;13;90;86;BF2D@HjDIOVANIO.001@r01@i6@p485386@l900@n78@e11.232@d5.0@gCA60@s20.00@v@Gl50@w-120@l250@w-90@l150@w-90@l250@w-90@l150@w-120@l50@w0@C83@
DIOVANIO.001;22771;P03;6;7;01;10mm;3,21;2;255;250;BF2D@HjDIOVANIO.001@r01@i7@p485388@l2550@n12@e19.278@d10.0@gCA50@s40.00@v@Gl1800@w-90@l650@w-90@l100@w0@C88@
DIOVANIO.001;22771;P03;6;8;02;10mm;2,83;2;225;220;BF2D@HjDIOVANIO.001@r01@i8@p485389@l2250@n12@e17.01@d10.0@gCA50@s40.00@v@Gl1650@w90@l500@w-90@l100@w0@C75@
DIOVANIO.001;22771;P03;6;9;03;5mm;1,73;12;90;86;BF2D@HjDIOVANIO.001@r01@i9@p485390@l900@n72@e10.368@d5.0@gCA60@s20.00@v@Gl50@w-120@l250@w-90@l150@w-90@l250@w-90@l150@w-120@l50@w0@C82@
DIOVANIO.001;22771;P04;13;10;01;10mm;8,32;4;330;330;BF2D@HjDIOVANIO.001@r01@i10@p485392@l3300@n52@e108.108@d10.0@gCA50@s40.00@v@Gl500@w0@l2800@w0@C67@
