LOCALIZADOR;PLAN.;ID ELEM;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;Compr. Unit.;Compr. Corte;QR CODE
DIOVANIO.002;23107;1;VB1A;2;18;01;10mm;49,39;4;980;975;BF2D@HjDIOVANIO.002@r01@i18@p494065@l9800@n8@e49.392@d10.0@gCA50@s40.00@v@Gl100@w-90@l9600@w-90@l100@w0@C87@
DIOVANIO.002;23107;1;VB1A;2;19;02;5mm;16,38;64;80;76;BF2D@HjDIOVANIO.002@r01@i19@p494066@l800@n128@e16.384@d5.0@gCA60@s20.00@v@Gl50@w-120@l250@w-90@l100@w-90@l250@w-90@l100@w-120@l50@w0@C85@
DIOVANIO.002;23107;2;VB1B;2;20;01;10mm;37,80;4;750;745;BF2D@HjDIOVANIO.002@r01@i20@p494068@l7500@n8@e37.8@d10.0@gCA50@s40.00@v@Gl100@w-90@l7300@w-90@l100@w0@C78@
DIOVANIO.002;23107;2;VB1B;2;21;02;5mm;12,29;48;80;76;BF2D@HjDIOVANIO.002@r01@i21@p494069@l800@n96@e12.288@d5.0@gCA60@s20.00@v@Gl50@w-120@l250@w-90@l100@w-90@l250@w-90@l100@w-120@l50@w0@C70@
DIOVANIO.002;23107;3;VB7;2;26;01;10mm;21,92;4;435;430;BF2D@HjDIOVANIO.002@r01@i26@p494077@l4350@n8@e21.924@d10.0@gCA50@s40.00@v@Gl100@w-90@l4150@w-90@l100@w0@C72@
DIOVANIO.002;23107;3;VB7;2;27;02;5mm;6,91;27;80;76;BF2D@HjDIOVANIO.002@r01@i27@p494078@l800@n54@e6.912@d5.0@gCA60@s20.00@v@Gl50@w-120@l250@w-90@l100@w-90@l250@w-90@l100@w-120@l50@w0@C89@
DIOVANIO.002;23107;4;VB6;1;22;01;10mm;16,76;4;665;660;BF2D@HjDIOVANIO.002@r01@i22@p494071@l6650@n4@e16.758@d10.0@gCA50@s40.00@v@Gl100@w-90@l6450@w-90@l100@w0@C67@
DIOVANIO.002;23107;4;VB6;1;23;02;5mm;5,50;43;80;76;BF2D@HjDIOVANIO.002@r01@i23@p494072@l800@n43@e5.504@d5.0@gCA60@s20.00@v@Gl50@w-120@l250@w-90@l100@w-90@l250@w-90@l100@w-120@l50@w0@C73@
DIOVANIO.002;23107;5;VB1;2;14;01;8mm;31,36;4;980;976;BF2D@HjDIOVANIO.002@r01@i14@p494059@l9800@n8@e31.36@d8.0@gCA50@s32.00@v@Gl100@w-90@l9600@w-90@l100@w0@C94@
DIOVANIO.002;23107;5;VB1;2;15;02;5mm;13,11;64;64;60;BF2D@HjDIOVANIO.002@r01@i15@p494060@l640@n128@e13.108@d5.0@gCA60@s20.00@v@Gl50@w-120@l200@w-90@l70@w-90@l200@w-90@l70@w-120@l50@w0@C68@
DIOVANIO.002;23107;6;VB1;2;16;01;8mm;24,00;4;750;746;BF2D@HjDIOVANIO.002@r01@i16@p494062@l7500@n8@e24@d8.0@gCA50@s32.00@v@Gl100@w-90@l7300@w-90@l100@w0@C65@
DIOVANIO.002;23107;6;VB1;2;17;02;5mm;9,83;48;64;60;BF2D@HjDIOVANIO.002@r01@i17@p494063@l640@n96@e9.83@d5.0@gCA60@s20.00@v@Gl50@w-120@l200@w-90@l70@w-90@l200@w-90@l70@w-120@l50@w0@C68@
DIOVANIO.002;23107;7;VB7;2;28;01;8mm;13,92;4;435;431;BF2D@HjDIOVANIO.002@r01@i28@p494080@l4350@n8@e13.92@d8.0@gCA50@s32.00@v@Gl100@w-90@l4150@w-90@l100@w0@C71@
DIOVANIO.002;23107;7;VB7;2;29;02;5mm;5,53;27;64;60;BF2D@HjDIOVANIO.002@r01@i29@p494081@l640@n54@e5.53@d5.0@gCA60@s20.00@v@Gl50@w-120@l200@w-90@l70@w-90@l200@w-90@l70@w-120@l50@w0@C78@
DIOVANIO.002;23107;8;VB6;1;24;01;8mm;10,64;4;665;661;BF2D@HjDIOVANIO.002@r01@i24@p494074@l6650@n4@e10.64@d8.0@gCA50@s32.00@v@Gl100@w-90@l6450@w-90@l100@w0@C70@
DIOVANIO.002;23107;8;VB6;1;25;02;5mm;4,40;43;64;60;BF2D@HjDIOVANIO.002@r01@i25@p494075@l640@n43@e4.403@d5.0@gCA60@s20.00@v@Gl50@w-120@l200@w-90@l70@w-90@l200@w-90@l70@w-120@l50@w0@C67@
DIOVANIO.002;23107;9;COLUNAS;12;3;01;8mm;76,80;4;400;400;BF2D@HjDIOVANIO.002@r01@i3@p494041@l4000@n48@e76.8@d8.0@gCA50@s32.00@v@Gl4000@w0@C89@
DIOVANIO.002;23107;9;COLUNAS;12;4;02;5mm;31,94;26;64;60;BF2D@HjDIOVANIO.002@r01@i4@p494042@l640@n312@e31.944@d5.0@gCA60@s20.00@v@Gl50@w-120@l200@w-90@l70@w-90@l200@w-90@l70@w-120@l50@w0@C83@
DIOVANIO.002;23107;10;ARRANQUE;12;1;01;10mm;45,36;4;150;148;BF2D@HjDIOVANIO.002@r01@i1@p494038@l1500@n48@e45.36@d10.0@gCA50@s40.00@v@Gl300@w-90@l1200@w0@C83@
DIOVANIO.002;23107;10;ARRANQUE;12;2;02;5mm;9,83;8;64;60;BF2D@HjDIOVANIO.002@r01@i2@p494039@l640@n96@e9.828@d5.0@gCA60@s20.00@v@Gl50@w-120@l200@w-90@l70@w-90@l200@w-90@l70@w-120@l50@w0@C96@
DIOVANIO.002;23107;11;SAPATA;10;11;01;8mm;36,00;10;90;86;BF2D@HjDIOVANIO.002@r01@i11@p494054@l900@n100@e36@d8.0@gCA50@s32.00@v@Gl150@w-90@l600@w-90@l150@w0@C70@
DIOVANIO.002;23107;12;VB;2;12;01;10mm;17,64;4;350;345;BF2D@HjDIOVANIO.002@r01@i12@p494056@l3500@n8@e17.64@d10.0@gCA50@s40.00@v@Gl100@w-90@l3300@w-90@l100@w0@C72@
DIOVANIO.002;23107;12;VB;2;13;02;5mm;5,63;22;80;76;BF2D@HjDIOVANIO.002@r01@i13@p494057@l800@n44@e5.632@d5.0@gCA60@s20.00@v@Gl50@w-120@l250@w-90@l100@w-90@l250@w-90@l100@w-120@l50@w0@C68@
DIOVANIO.002;23107;13;ESTACA;10;5;01;10mm;50,40;4;200;200;BF2D@HjDIOVANIO.002@r01@i5@p494044@l2000@n40@e50.4@d10.0@gCA50@s40.00@v@Gl2000@w0@C68@
DIOVANIO.002;23107;13;ESTACA;10;6;02;5mm;18,72;13;90;86;BF2D@HjDIOVANIO.002@r01@i6@p494045@l900@n130@e18.72@d5.0@gCA60@s20.00@v@Gl50@w-120@l200@w-90@l200@w-90@l200@w-90@l200@w-120@l50@w0@C78@
DIOVANIO.002;23107;15;P01;2;9;01;8mm;10,56;4;330;330;BF2D@HjDIOVANIO.002@r01@i9@p494051@l3300@n8@e10.56@d8.0@gCA50@s32.00@v@Gl3300@w0@C91@
DIOVANIO.002;23107;15;P01;2;10;02;5mm;4,51;22;64;60;BF2D@HjDIOVANIO.002@r01@i10@p494052@l640@n44@e4.506@d5.0@gCA60@s20.00@v@Gl50@w-120@l200@w-90@l70@w-90@l200@w-90@l70@w-120@l50@w0@C73@
DIOVANIO.002;23107;16;L01;48;7;01;6,3mm;87,60;1;730;730;BF2D@HjDIOVANIO.002@r01@i7@p494047@l7300@n48@e87.6@d6.3@gCA50@s25.00@v@Gl7300@w0@C96@
DIOVANIO.002;23107;17;L02;36;8;01;6,3mm;86,40;1;960;960;BF2D@HjDIOVANIO.002@r01@i8@p494049@l9600@n36@e86.4@d6.3@gCA50@s25.00@v@Gl9600@w0@C89@
