LOCALIZADOR;PLAN.;ID ELEM;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;Compr. Unit.;Compr. Corte;QR CODE
LIVING-MA.127;22614;2;V02;1;9;01;12,5mm;7,56;3;257;254;BF2D@HjLIVING-MA.127@r01@i9@p492783@l2570@n3@e7.556@d12.5@gCA50@s50.00@v@Gl380@w-90@l2190@w0@C70@
LIVING-MA.127;22614;2;V02;1;10;02;16mm;17,92;2;560;560;BF2D@HjLIVING-MA.127@r01@i10@p492784@l5600@n2@e17.92@d16.0@gCA50@s240.00@v@Gl5600@w0@C74@
LIVING-MA.127;22614;2;V02;1;11;03;16mm;8,32;2;260;260;BF2D@HjLIVING-MA.127@r01@i11@p492785@l2600@n2@e8.32@d16.0@gCA50@s240.00@v@Gl2600@w0@C68@
LIVING-MA.127;22614;2;V02;1;12;04;12,5mm;16,07;4;410;410;BF2D@HjLIVING-MA.127@r01@i12@p492786@l4100@n4@e16.072@d12.5@gCA50@s50.00@v@Gl4100@w0@C83@
LIVING-MA.127;22614;2;V02;1;13;05;12,5mm;4,51;2;230;230;BF2D@HjLIVING-MA.127@r01@i13@p492787@l2300@n2@e4.508@d12.5@gCA50@s50.00@v@Gl2300@w0@C66@
LIVING-MA.127;22614;2;V02;1;14;06;20mm;30,75;2;615;615;BF2D@HjLIVING-MA.127@r01@i14@p492788@l6150@n2@e30.75@d20.0@gCA50@s300.00@v@Gl6150@w0@C76@
LIVING-MA.127;22614;2;V02;1;15;07;20mm;7,25;1;290;290;BF2D@HjLIVING-MA.127@r01@i15@p492789@l2900@n1@e7.25@d20.0@gCA50@s300.00@v@Gl2900@w0@C94@
LIVING-MA.127;22614;2;V02;1;16;08;16mm;18,72;2;585;585;BF2D@HjLIVING-MA.127@r01@i16@p492790@l5850@n2@e18.72@d16.0@gCA50@s240.00@v@Gl5850@w0@C90@
LIVING-MA.127;22614;2;V02;1;17;09;12,5mm;4,51;2;230;227;BF2D@HjLIVING-MA.127@r01@i17@p492791@l2300@n2@e4.508@d12.5@gCA50@s50.00@v@Gl380@w-90@l1920@w0@C72@
LIVING-MA.127;22614;2;V02;1;18;10;12,5mm;44,30;4;1130;1127;BF2D@HjLIVING-MA.127@r01@i18@p492792@l11300@n4@e44.296@d12.5@gCA50@s50.00@v@Gl490@w-90@l10810@w0@C76@
LIVING-MA.127;22614;2;V02;1;19;11;12,5mm;22,25;2;1135;1135;BF2D@HjLIVING-MA.127@r01@i19@p492793@l11350@n2@e22.246@d12.5@gCA50@s50.00@v@Gl11350@w0@C70@
LIVING-MA.127;22614;2;V02;1;20;12;12,5mm;5,78;2;295;295;BF2D@HjLIVING-MA.127@r01@i20@p492794@l2950@n2@e5.782@d12.5@gCA50@s50.00@v@Gl2950@w0@C75@
