LOCALIZADOR;PLAN.;ID ELEM;ELEMENTO;QTDE ELEM;OS;POSICAO;BITOLA;PESO (KG);QTDE;Compr. Unit;Compr. Corte;QR CODE
LM-EMP.001;22791;1;PAREDE 1 - MONTANTE;1;4;1;8mm;42,5;16x2;55 var 609;51 var 605;"BF2D@HjLM-EMP.001@r01@i4@p485434@l550@n2@e42.496@d8.0@gCA50@s32.00@v@Gl100@w-90@l350@w-90@l100@w0@PtTRAVE;e16;f100;w-90;l100;w-90;f350;w-90;l5890;w-90;f100;w0;l100;w0;@cCAD;a;t;@C85@"
LM-EMP.001;22791;1;PAREDE 1 - MONTANTE;1;5;6;8mm;11,93;19;47 var 267;43 var 263;"BF2D@HjLM-EMP.001@r01@i5@p485435@l470@n1@e11.932@d8.0@gCA50@s32.00@v@Gl100@w-90@l270@w-90@l100@w0@PtTRAVE;e19;f100;w-90;l100;w-90;f270;w-90;l2470;w-90;f100;w0;l100;w0;@cCAD;a;t;@C96@"
LM-EMP.001;22791;1;PAREDE 1 - MONTANTE;1;6;7;8mm;11,93;19;47 var 267;43 var 263;"BF2D@HjLM-EMP.001@r01@i6@p485436@l470@n1@e11.932@d8.0@gCA50@s32.00@v@Gl100@w-90@l270@w-90@l100@w0@PtTRAVE;e19;f100;w-90;l100;w-90;f270;w-90;l2470;w-90;f100;w0;l100;w0;@cCAD;a;t;@C94@"
LM-EMP.001;22791;2;PAREDE 2 - MONTANTE;1;10;1;8mm;42,5;16x2;55 var 609;51 var 605;"BF2D@HjLM-EMP.001@r01@i10@p485442@l550@n2@e42.496@d8.0@gCA50@s32.00@v@Gl100@w-90@l350@w-90@l100@w0@PtTRAVE;e16;f100;w-90;l100;w-90;f350;w-90;l5890;w-90;f100;w0;l100;w0;@cCAD;a;t;@C73@"
LM-EMP.001;22791;2;PAREDE 2 - MONTANTE;1;11;6;8mm;11,93;19;47 var 267;43 var 263;"BF2D@HjLM-EMP.001@r01@i11@p485443@l470@n1@e11.932@d8.0@gCA50@s32.00@v@Gl100@w-90@l270@w-90@l100@w0@PtTRAVE;e19;f100;w-90;l100;w-90;f270;w-90;l2470;w-90;f100;w0;l100;w0;@cCAD;a;t;@C84@"
LM-EMP.001;22791;2;PAREDE 2 - MONTANTE;1;12;7;8mm;11,93;19;47 var 267;43 var 263;"BF2D@HjLM-EMP.001@r01@i12@p485444@l470@n1@e11.932@d8.0@gCA50@s32.00@v@Gl100@w-90@l270@w-90@l100@w0@PtTRAVE;e19;f100;w-90;l100;w-90;f270;w-90;l2470;w-90;f100;w0;l100;w0;@cCAD;a;t;@C82@"
LM-EMP.001;22791;3;PISO - MONTANTE;1;16;8;8mm;282,94;47x2;469 var 1036;465 var 1032;"BF2D@HjLM-EMP.001@r01@i16@p485450@l4690@n2@e282.936@d8.0@gCA50@s32.00@v@Gl100@w-90@l4490@w-90@l100@w0@PtTRAVE;e47;f100;w-90;l100;w-90;f4490;w-90;l10160;w-90;f100;w0;l100;w0;@cCAD;a;t;@C94@"
LM-EMP.001;22791;3;PISO - MONTANTE;1;17;9;8mm;177,84;45x2;494;490;BF2D@HjLM-EMP.001@r01@i17@p485451@l4940@n90@e177.84@d8.0@gCA50@s32.00@v@Gl100@w-90@l4740@w-90@l100@w0@C66@
LM-EMP.001;22791;3;PISO - MONTANTE;1;18;10;8mm;122,02;29x4;36 var 490;32 var 486;"BF2D@HjLM-EMP.001@r01@i18@p485452@l360@n4@e122.016@d8.0@gCA50@s32.00@v@Gl100@w-90@l160@w-90@l100@w0@PtTRAVE;e29;f100;w-90;l100;w-90;f160;w-90;l4700;w-90;f100;w0;l100;w0;@cCAD;a;t;@C69@"
LM-EMP.001;22791;4;PAREDE 1 - JUSANTE;1;1;1;8mm;39,09;15x2;56 var 595;52 var 591;"BF2D@HjLM-EMP.001@r01@i1@p485430@l560@n2@e39.088@d8.0@gCA50@s32.00@v@Gl100@w-90@l360@w-90@l100@w0@PtTRAVE;e15;f100;w-90;l100;w-90;f360;w-90;l5750;w-90;f100;w0;l100;w0;@cCAD;a;t;@C92@"
LM-EMP.001;22791;4;PAREDE 1 - JUSANTE;1;2;6;8mm;11,82;19;50 var 261;46 var 257;"BF2D@HjLM-EMP.001@r01@i2@p485431@l500@n1@e11.816@d8.0@gCA50@s32.00@v@Gl100@w-90@l300@w-90@l100@w0@PtTRAVE;e19;f100;w-90;l100;w-90;f300;w-90;l2410;w-90;f100;w0;l100;w0;@cCAD;a;t;@C94@"
LM-EMP.001;22791;4;PAREDE 1 - JUSANTE;1;3;7;8mm;11,82;19;50 var 261;46 var 257;"BF2D@HjLM-EMP.001@r01@i3@p485432@l500@n1@e11.816@d8.0@gCA50@s32.00@v@Gl100@w-90@l300@w-90@l100@w0@PtTRAVE;e19;f100;w-90;l100;w-90;f300;w-90;l2410;w-90;f100;w0;l100;w0;@cCAD;a;t;@C92@"
LM-EMP.001;22791;5;PAREDE 2 - JUSANTE;1;7;1;8mm;39,09;15x2;56 var 595;52 var 591;"BF2D@HjLM-EMP.001@r01@i7@p485438@l560@n2@e39.088@d8.0@gCA50@s32.00@v@Gl100@w-90@l360@w-90@l100@w0@PtTRAVE;e15;f100;w-90;l100;w-90;f360;w-90;l5750;w-90;f100;w0;l100;w0;@cCAD;a;t;@C78@"
LM-EMP.001;22791;5;PAREDE 2 - JUSANTE;1;8;6;8mm;11,82;19;50 var 261;46 var 257;"BF2D@HjLM-EMP.001@r01@i8@p485439@l500@n1@e11.816@d8.0@gCA50@s32.00@v@Gl100@w-90@l300@w-90@l100@w0@PtTRAVE;e19;f100;w-90;l100;w-90;f300;w-90;l2410;w-90;f100;w0;l100;w0;@cCAD;a;t;@C80@"
LM-EMP.001;22791;5;PAREDE 2 - JUSANTE;1;9;7;8mm;11,82;19;50 var 261;46 var 257;"BF2D@HjLM-EMP.001@r01@i9@p485440@l500@n1@e11.816@d8.0@gCA50@s32.00@v@Gl100@w-90@l300@w-90@l100@w0@PtTRAVE;e19;f100;w-90;l100;w-90;f300;w-90;l2410;w-90;f100;w0;l100;w0;@cCAD;a;t;@C87@"
