LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V01;7;01;6,3mm;1,65;2;330;330;BF2D@HjLIVING-MA.117@r01@i7@p478918@l3300@n2@e1.65@d6.3@gCA50@s25.00@v@Gl3300@w0@C80@
LIVING-MA.117;21869;V01;8;02;12,5mm;8,74;4;223;220;BF2D@HjLIVING-MA.117@r01@i8@p478919@l2230@n4@e8.742@d12.5@gCA50@s50.00@v@Gl380@w-90@l1850@w0@C73@
LIVING-MA.117;21869;V01;9;03;12,5mm;14,68;2;749;743;BF2D@HjLIVING-MA.117@r01@i9@p478920@l7490@n2@e14.68@d12.5@gCA50@s50.00@v@Gl550@w-90@l6390@w-90@l550@w0@C81@
LIVING-MA.117;21869;V01;10;04;12,5mm;4,36;1;445;445;BF2D@HjLIVING-MA.117@r01@i10@p478921@l4450@n1@e4.361@d12.5@gCA50@s50.00@v@Gl4450@w0@C96@
LIVING-MA.117;21869;V01;11;05;6,3mm;13,18;31;170;165;BF2D@HjLIVING-MA.117@r01@i11@p478922@l1700@n31@e13.175@d6.3@gCA50@s25.00@v@Gl60@w-120@l650@w-90@l140@w-90@l650@w-90@l140@w-120@l60@w0@C90@
LIVING-MA.117;21869;V01;12;06;8mm;15,34;6;639;639;BF2D@HjLIVING-MA.117@r01@i12@p478923@l6390@n6@e15.336@d8.0@gCA50@s32.00@v@Gl6390@w0@C73@
LIVING-MA.117;21869;V02;13;01;12,5mm;21,25;8;271;268;BF2D@HjLIVING-MA.117@r01@i13@p478925@l2710@n8@e21.246@d12.5@gCA50@s50.00@v@Gl380@w-90@l2330@w0@C85@
LIVING-MA.117;21869;V02;14;02;20mm;127,50;6;850;850;BF2D@HjLIVING-MA.117@r01@i14@p478926@l8500@n6@e127.5@d20.0@gCA50@s300.00@v@Gl8500@w0@C73@
LIVING-MA.117;21869;V02;15;03;20mm;27,50;2;550;550;BF2D@HjLIVING-MA.117@r01@i15@p478927@l5500@n2@e27.5@d20.0@gCA50@s300.00@v@Gl5500@w0@C66@
LIVING-MA.117;21869;V02;16;04;25mm;163,80;4;1050;1050;BF2D@HjLIVING-MA.117@r01@i16@p478928@l10500@n4@e163.8@d25.0@gCA50@s375.00@v@Gl10500@w0@C65@
LIVING-MA.117;21869;V02;17;05;25mm;73,71;3;630;630;BF2D@HjLIVING-MA.117@r01@i17@p478929@l6300@n3@e73.71@d25.0@gCA50@s375.00@v@Gl6300@w0@C90@
LIVING-MA.117;21869;V02;18;06;25mm;54,99;3;470;470;BF2D@HjLIVING-MA.117@r01@i18@p478930@l4700@n3@e54.99@d25.0@gCA50@s375.00@v@Gl4700@w0@C84@
LIVING-MA.117;21869;V02;19;07;20mm;27,25;2;545;545;BF2D@HjLIVING-MA.117@r01@i19@p478931@l5450@n2@e27.25@d20.0@gCA50@s300.00@v@Gl5450@w0@C73@
LIVING-MA.117;21869;V02;20;08;12,5mm;19,60;4;500;497;BF2D@HjLIVING-MA.117@r01@i20@p478932@l5000@n4@e19.6@d12.5@gCA50@s50.00@v@Gl550@w-90@l4450@w0@C93@
LIVING-MA.117;21869;V02;21;09;12,5mm;4,90;2;250;250;BF2D@HjLIVING-MA.117@r01@i21@p478933@l2500@n2@e4.9@d12.5@gCA50@s50.00@v@Gl2500@w0@C71@
LIVING-MA.117;21869;V02;22;10;25mm;166,14;4;1065;1065;BF2D@HjLIVING-MA.117@r01@i22@p478934@l10650@n4@e166.14@d25.0@gCA50@s375.00@v@Gl10650@w0@C75@
LIVING-MA.117;21869;V02;23;11;25mm;153,27;6;655;655;BF2D@HjLIVING-MA.117@r01@i23@p478935@l6550@n6@e153.27@d25.0@gCA50@s375.00@v@Gl6550@w0@C95@
